Station_ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31103,Ozone,2012-07-09,24,21,21,20,20,18,15,15,25,31,33,30,37,35,36,48,37,43,51,34,34,28,23,27
31103,Ozone,2012-07-10,24,12,12,21,18,17,13,17,24,30,30,27,37,45,43,44,44,47,52,45,27,26,24,22
31103,Ozone,2012-07-11,22,25,27,27,24,20,10,12,23,27,29,32,37,40,43,47,48,55,54,51,49,48,38,26
31103,Ozone,2012-07-12,15,14,14,6,4,4,5,12,35,43,50,53,53,58,59,63,64,68,60,53,54,58,56,50
31103,Ozone,2012-07-13,42,31,33,37,37,30,22,23,30,33,47,61,64,75,81,82,80,73,61,62,62,64,68,54
31103,Ozone,2012-07-14,45,49,51,52,53,50,51,49,48,53,60,64,64,65,63,57,55,51,61,65,66,70,62,60
31103,Ozone,2012-07-15,54,50,45,39,37,38,36,35,30,33,36,44,47,55,54,56,47,45,44,35,32,28,16,11
31103,Ozone,2012-07-16,22,24,33,41,39,37,35,32,37,44,50,54,69,81,73,71,69,60,45,45,40,33,40,47
31103,Ozone,2012-07-17,48,47,49,44,43,40,38,38,43,53,60,61,62,59,61,61,61,60,59,50,39,29,32,30
31103,Ozone,2012-07-18,27,25,24,22,22,21,16,20,23,29,31,37,41,40,41,39,30,36,37,28,30,31,27,25
31103,Ozone,2012-07-19,27,23,25,25,23,20,20,22,25,26,29,30,32,32,32,31,30,30,30,32,33,31,28,26
31103,Ozone,2012-07-20,20,15,19,21,22,17,14,15,20,22,28,29,35,36,37,36,36,34,35,37,39,38,33,27
31103,Ozone,2012-07-21,22,11,12,8,11,9,12,24,33,35,42,46,51,50,52,53,48,46,47,50,47,44,38,38
31103,Ozone,2012-07-22,43,43,43,42,36,35,33,35,36,39,46,57,67,63,69,68,58,59,56,52,52,49,51,49
31103,Ozone,2012-07-23,46,44,38,38,37,31,21,18,28,46,70,77,78,74,75,69,68,71,71,72,64,55,46,41
31103,Ozone,2012-07-24,38,34,34,32,28,23,22,25,30,32,34,32,31,32,34,32,31,30,29,27,25,22,20,19
31103,Ozone,2012-07-25,19,18,20,19,15,12,12,16,17,25,29,33,37,38,42,43,36,35,33,29,33,36,45,46
31103,Ozone,2012-07-26,48,45,39,37,37,37,32,35,37,32,36,38,35,51,55,49,40,38,40,38,36,27,21,22
31103,Ozone,2012-07-27,21,21,23,22,21,19,14,11,21,30,30,31,35,35,32,31,30,30,28,27,22,24,25,18
31103,Ozone,2012-07-28,5,1,8,10,11,16,17,19,23,24,29,33,32,29,30,28,32,33,32,28,23,23,21,20
31103,Ozone,2012-07-29,21,21,25,23,21,19,16,21,23,26,34,47,46,50,41,41,42,41,36,38,42,39,40,30
31103,Ozone,2012-07-30,20,12,7,3,14,10,5,8,13,25,30,39,54,58,65,63,55,52,56,58,54,51,52,50
31103,Ozone,2012-07-31,50,48,49,50,41,40,40,35,38,42,52,62,54,45,49,39,55,50,55,57,46,40,36,41
31103,Ozone,2012-08-01,31,23,25,23,20,15,11,18,24,29,35,38,38,38,38,39,46,57,55,39,27,23,22,20
31103,Ozone,2012-08-02,14,9,8,2,2,2,4,5,11,21,28,42,50,58,57,56,55,56,56,55,58,55,45,47
31103,Ozone,2012-08-03,48,42,36,34,33,26,25,19,22,25,34,38,41,49,53,63,62,55,50,48,45,44,43,42
31103,Ozone,2012-08-04,42,45,44,39,37,38,35,39,48,53,61,64,69,71,76,79,78,74,66,60,59,58,56,50
